clip,total_time,load_time,inference_time,postprocess_time,save_time
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0001.avi,1.04419088363647,0.137438297271729,0.603796720504761,0.238752365112305,0.0512454509735107
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0002.avi,0.842106580734253,0.0856761932373047,0.567877769470215,0.129672765731812,0.0464081764221191
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0003.avi,0.81829833984375,0.0741555690765381,0.5641930103302,0.122199058532715,0.0456252098083496
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0004.avi,0.808701038360596,0.0694437026977539,0.563996076583862,0.119928598403931,0.0440857410430908
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0005.avi,0.834225654602051,0.0852327346801758,0.562314987182617,0.125777006149292,0.0502994060516357
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0006.avi,0.840391635894775,0.0878980159759522,0.563542127609253,0.128574132919312,0.0492889881134033
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0007.avi,0.818272590637207,0.0698983669281006,0.564013719558716,0.12708306312561,0.0462343692779541
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0008.avi,0.833734512329102,0.0763413906097412,0.564904689788818,0.136635065078735,0.0441310405731201
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0009.avi,0.827085971832275,0.0706865787506104,0.568246364593506,0.128475904464722,0.0471162796020508
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0010.avi,0.809474945068359,0.0710189342498779,0.561988592147827,0.124768018722534,0.0407147407531738
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0011.avi,0.818777322769165,0.0708138942718506,0.565075397491455,0.128032207489014,0.0436522960662842
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0012.avi,0.837836980819702,0.076880693435669,0.571194171905518,0.134463548660278,0.0435748100280762
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0013.avi,0.855939865112305,0.0781810283660889,0.574817895889282,0.14414119720459,0.0459280014038086
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0014.avi,0.816557884216309,0.0696601867675781,0.563227415084839,0.128681659698486,0.0436334609985352
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0015.avi,0.821516275405884,0.0703015327453613,0.563106298446655,0.133622646331787,0.043628454208374
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0016.avi,0.815596580505371,0.0694906711578369,0.56479024887085,0.128324270248413,0.0424785614013672
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0017.avi,0.814496755599976,0.0710422992706299,0.563105344772339,0.127928018569946,0.0412242412567139
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0018.avi,0.812590837478638,0.0697762966156006,0.563230514526367,0.128094673156738,0.0401079654693604
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0019.avi,0.816771268844605,0.0689399242401123,0.565167427062988,0.130062103271484,0.0417413711547852
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0020.avi,0.818920373916626,0.0695202350616455,0.567546606063843,0.128347635269165,0.0413296222686768
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0021.avi,0.811485052108765,0.0709483623504639,0.563110113143921,0.125268220901489,0.0407702922821045
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0022.avi,0.821254968643189,0.0705242156982422,0.56488299369812,0.132853507995605,0.0423586368560791
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0023.avi,0.817133665084839,0.0732355117797852,0.563556909561157,0.127793788909912,0.0412511825561523
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0024.avi,0.836717844009399,0.0699961185455322,0.573433876037598,0.136227369308472,0.044426441192627
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0025.avi,0.822317600250244,0.0700051784515381,0.567250490188599,0.13122296333313,0.0435028076171875
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0026.avi,0.812276601791382,0.0703904628753662,0.561770439147949,0.124426603317261,0.0452880859375
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0027.avi,0.818443298339844,0.0700178146362305,0.565371036529541,0.125270366668701,0.0465788841247559
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0028.avi,0.815211057662964,0.0703942775726318,0.562700271606445,0.130404472351074,0.0410637855529785
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0029.avi,0.820863246917725,0.0698511600494385,0.563702821731567,0.134304285049438,0.0419528484344482
/home/wxn/PycharmProjects/MENGProject/input/2024_11_04_10:24_observation_1/clip_0030.avi,0.818598985671997,0.0705149173736572,0.564213275909424,0.130436658859253,0.0427432060241699
