pair_index,max_processing_time
0,4.54281377792358
1,4.59101223945618
2,4.27437448501587
3,4.47235488891602
4,4.33568811416626
5,4.45395684242249
6,4.29245662689209
7,4.30703926086426
8,4.46174335479736
9,4.40126633644104
10,4.5319664478302
11,4.46746134757996
12,4.66198563575745
13,4.71437478065491
14,4.30318474769592
15,4.35772728919983
16,4.43829226493835
17,4.32582950592041
18,4.24447274208069
19,4.52055549621582
20,4.46713304519653
21,4.29884886741638
22,4.12437653541565
23,4.25679469108582
24,4.21725916862488
25,4.16801118850708
26,4.18741416931152
27,4.32174515724182
28,4.2254946231842
29,4.19020462036133
30,4.3346574306488
31,4.2902455329895
32,4.26173567771912
33,4.30989360809326
34,4.42677474021912
35,4.29180979728699
36,4.31785106658936
37,4.40381789207459
38,4.2656581401825
39,4.32177257537842
40,4.26186394691467
41,4.47698020935059
42,4.26231384277344
43,4.24591302871704
44,4.33563566207886
45,4.18732619285584
46,4.22129344940186
47,4.16962480545044
48,4.28937554359436
49,4.21414971351624
50,4.23221802711487
51,4.34442162513733
52,4.24545860290527
53,4.22743964195252
54,4.22992491722107
55,4.29726362228394
56,4.21713900566101
57,4.25030779838562
58,4.37101936340332
59,4.23059558868408
60,4.24212193489075
61,4.18520212173462
62,4.35112237930298
63,4.19591498374939
64,4.19982576370239
65,4.2927520275116
66,4.20241189002991
67,4.20273804664612
68,4.1925048828125
69,4.31530547142029
70,4.17960143089294
71,4.22312951087952
72,4.31333327293396
73,4.1305582523346
74,4.22473430633545
75,4.15415072441101
76,4.29200506210327
77,4.1803081035614
78,4.20314955711365
79,4.20450687408447
80,4.38421702384949
81,4.21400475502014
82,4.29078531265259
83,4.40211176872253
84,4.31559491157532
85,4.28510308265686
86,4.29601836204529
87,4.36624121665955
88,4.29431295394898
89,4.30094480514526
90,4.4703049659729
91,4.29878616333008
92,4.32437610626221
93,4.32094764709473
94,4.26374387741089
95,4.28701019287109
96,4.40229082107544
97,3.89708471298218
,421.589574575424
