Frame,Frame Processing Time (s),DeepFace Analysis Time (s)
0,0.014801502227783203,0
1,0.0032854080200195312,0
2,0.0030596256256103516,0
3,0.0034475326538085938,0
4,0.0043179988861083984,0
5,0.00526881217956543,0
6,0.005616903305053711,0
7,0.18522214889526367,0
8,0.0055637359619140625,0
9,0.11770367622375488,0
10,0.011494636535644531,0
11,0.012153863906860352,0
12,0.0038299560546875,0
13,0.002743244171142578,0
14,0.007214069366455078,0
15,0.0031914710998535156,0
16,0.005590200424194336,0
17,0.002826690673828125,0
18,0.0033369064331054688,0
19,0.0054361820220947266,0
20,0.0026900768280029297,0
21,0.003844738006591797,0
22,0.0046787261962890625,0
23,0.005648374557495117,0
24,0.005717754364013672,0
25,0.0051801204681396484,0
26,0.00632166862487793,0
27,0.005560874938964844,0
28,0.0043756961822509766,0
29,0.006288766860961914,0
30,0.006767749786376953,0
31,0.005098819732666016,0
32,0.0029790401458740234,0
33,0.005157947540283203,0
34,0.004211902618408203,0
35,0.003732919692993164,0
36,0.004131317138671875,0
37,0.002886056900024414,0
38,0.010279417037963867,0
39,0.008083105087280273,0
40,0.019119739532470703,0
41,0.0037686824798583984,0
42,0.003070354461669922,0
43,0.004453420639038086,0
44,0.004252910614013672,0
45,0.006460666656494141,0
46,0.005014181137084961,0
47,0.003297090530395508,0
48,0.003233671188354492,0
49,0.011358976364135742,0
50,0.014118194580078125,0
51,0.0060350894927978516,0
52,0.0072040557861328125,0
53,0.004539966583251953,0
54,0.0034356117248535156,0
55,0.0026013851165771484,0
56,0.004669189453125,0
57,0.017746925354003906,0
58,0.023834705352783203,0
59,0.006976604461669922,0
60,0.015568256378173828,0
61,0.014722585678100586,0
62,0.004256725311279297,0
63,0.009018421173095703,0
64,0.01174783706665039,0
65,0.004716396331787109,0
66,0.005804777145385742,0
67,0.003585338592529297,0
68,0.0076253414154052734,0
69,0.006180524826049805,0
70,0.002895832061767578,0
71,0.0023446083068847656,0
72,0.002349376678466797,0
73,0.0024917125701904297,0
74,0.002987384796142578,0
75,0.0023992061614990234,0
76,0.0025331974029541016,0
77,0.0034208297729492188,0
78,0.0026068687438964844,0
79,0.0031032562255859375,0
80,0.0023648738861083984,0
81,0.0025620460510253906,0
82,0.0027937889099121094,0
83,0.00273895263671875,0
84,0.0035631656646728516,0
85,0.0037069320678710938,0
86,0.0034105777740478516,0
87,0.0029544830322265625,0
88,0.004613637924194336,0
89,0.0037937164306640625,0
90,0.042073726654052734,0
91,0.026415586471557617,0
92,0.022927045822143555,0
93,0.027085304260253906,0
94,0.027123689651489258,0
95,0.0198516845703125,0
96,0.021295785903930664,0
97,0.011710882186889648,0
98,0.021764278411865234,0
99,0.01534128189086914,0
100,0.032464027404785156,0
101,0.027302026748657227,0
102,0.024759531021118164,0
103,0.0207366943359375,0
