Frame,Frame Processing Time (s),DeepFace Analysis Time (s)
0,0.008422613143920898,0
1,0.0023415088653564453,0
2,0.002372264862060547,0
3,0.002821207046508789,0
4,0.0030825138092041016,0
5,0.002578258514404297,0
6,0.002477407455444336,0
7,0.002487659454345703,0
8,0.0024933815002441406,0
9,0.0029871463775634766,0
10,0.002592802047729492,0
11,0.002530813217163086,0
12,0.0021729469299316406,0
13,0.0023832321166992188,0
14,0.0037238597869873047,0
15,0.003343820571899414,0
16,0.0038890838623046875,0
17,0.0033690929412841797,0
18,0.003538846969604492,0
19,0.00284576416015625,0
20,0.12698125839233398,0
21,0.004698753356933594,0
22,0.0032355785369873047,0
23,0.0037696361541748047,0
24,0.002567291259765625,0
25,0.003751993179321289,0
26,0.08673691749572754,0
27,0.007233381271362305,0
28,0.002606630325317383,0
29,0.002435922622680664,0
30,0.0025284290313720703,0
31,0.0035843849182128906,0
32,0.005537986755371094,0
33,0.003030538558959961,0
34,0.004462242126464844,0
35,0.0030760765075683594,0
36,0.0027027130126953125,0
37,0.004542350769042969,0
38,0.0026547908782958984,0
39,0.004086494445800781,0
40,0.002371549606323242,0
41,0.0038154125213623047,0
42,0.0028219223022460938,0
43,0.0027594566345214844,0
44,0.0048828125,0
45,0.0042247772216796875,0
46,0.006146907806396484,0
47,0.0028502941131591797,0
48,0.002433300018310547,0
49,0.0047299861907958984,0
50,0.0037271976470947266,0
51,0.003981113433837891,0
52,0.007902145385742188,0
53,0.008122682571411133,0
54,0.00626063346862793,0
55,0.009316444396972656,0
56,0.004358530044555664,0
57,0.004927873611450195,0
58,0.004790067672729492,0
59,0.0029191970825195312,0
60,0.0040700435638427734,0
61,0.006543397903442383,0
62,0.0036690235137939453,0
63,0.007357120513916016,0
64,0.002827167510986328,0
65,0.0026311874389648438,0
66,0.012356281280517578,0
67,0.005747795104980469,0
68,0.0038743019104003906,0
69,0.009512186050415039,0
70,0.007393360137939453,0
71,0.00487828254699707,0
72,0.005338907241821289,0
73,0.002860546112060547,0
74,0.0025708675384521484,0
75,0.0026030540466308594,0
76,0.002302885055541992,0
77,0.006264448165893555,0
78,0.011829614639282227,0
79,0.013478517532348633,0
80,0.01420450210571289,0
81,0.002799510955810547,0
82,0.0025730133056640625,0
83,0.0027658939361572266,0
84,0.002501964569091797,0
85,0.004224300384521484,0
86,0.011248111724853516,0
87,0.023457765579223633,0
88,0.0055370330810546875,0
89,0.002712726593017578,0
90,0.0023658275604248047,0
91,0.004976987838745117,0
92,0.0067806243896484375,0
93,0.012575626373291016,0
94,0.010614156723022461,0
95,0.003075122833251953,0
96,0.00663447380065918,0
97,0.01298666000366211,0
98,0.0029146671295166016,0
99,0.0022907257080078125,0
100,0.005406618118286133,0
101,0.004281759262084961,0
102,0.0041959285736083984,0
103,0.00802159309387207,0
104,0.0023987293243408203,0
105,0.0026047229766845703,0
106,0.002129793167114258,0
107,0.0024144649505615234,0
108,0.002379179000854492,0
109,0.0021255016326904297,0
110,0.002336740493774414,0
111,0.0021347999572753906,0
112,0.002107381820678711,0
113,0.0021834373474121094,0
114,0.001999378204345703,0
115,0.002337932586669922,0
116,0.0022492408752441406,0
117,0.0021851062774658203,0
118,0.0023403167724609375,0
119,0.002329111099243164,0
120,0.002299785614013672,0
121,0.002246379852294922,0
122,0.0021233558654785156,0
123,0.0022513866424560547,0
124,0.002190828323364258,0
125,0.0021505355834960938,0
126,0.002075672149658203,0
127,0.002149343490600586,0
128,0.002402067184448242,0
129,0.0021190643310546875,0
130,0.002233266830444336,0
131,0.002025604248046875,0
132,0.002227783203125,0
133,0.002392292022705078,0
134,0.0021867752075195312,0
135,0.0020973682403564453,0
136,0.002209901809692383,0
137,0.0020155906677246094,0
138,0.0019164085388183594,0
139,0.0020799636840820312,0
140,0.0020089149475097656,0
141,0.002030611038208008,0
142,0.0020122528076171875,0
143,0.0022821426391601562,0
144,0.0021979808807373047,0
145,0.0022411346435546875,0
146,0.002222776412963867,0
147,0.002096891403198242,0
